Dr_in,Air_gap,Lamda,Bridge,Hs0,Hs1,Hs2,Bs0,Bs1,Bs2,O1,O2,B1,rib,hrib,Mt,Mw,magDmin,Thet_deg,generation,score,efficiency,torque_ripple,power_density,cost
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,6,89.66146598459125,98.11777597295062,8.519627317964211,0.244740547558688,177.158832523532
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,24.0,6.0,52.0,6,89.65990169317026,97.80810921165053,8.193478982464121,0.208202207794061,176.488919739605
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,6,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,6,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,7,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,7,89.66146598459125,98.11777597295062,8.519627317964211,0.244740547558688,177.158832523532
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,24.0,6.0,52.0,7,89.65990169317026,97.80810921165053,8.193478982464121,0.208202207794061,176.488919739605
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,7,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,7,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,8,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,8,89.66146598459125,98.11777597295062,8.519627317964211,0.244740547558688,177.158832523532
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,8,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,8,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,11.0,0.0,4.0,3.7,12.0,3.0,4.0,26.0,4.0,52.0,8,82.31392373333334,95.3471,13.1463,0.3034,115.7288
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,9,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,9,89.66146598459125,98.11777597295062,8.519627317964211,0.244740547558688,177.158832523532
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,9,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,9,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.1,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,3.5,3.7,12.0,2.5,4.0,26.0,6.0,52.0,9,84.50928983333334,96.8076,12.3949,0.2735,120.4805
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,10,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,10,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,10,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.3,1.0,2.7,1.7,1.3,34.0,4.0,9.0,10.0,0.0,4.0,3.7,12.0,2.5,4.0,26.0,8.0,52.0,10,89.50937686426656,98.11925775777596,8.67317903612385,0.244702173577927,177.158832523532
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,3.5,3.7,14.0,2.5,4.0,26.0,5.0,52.0,10,83.433323394434,98.06683614897864,14.700856542498409,0.252846422751636,177.238270266141
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,6.0,52.0,11,90.24970643209275,98.04044277511886,7.848861037474424,0.234370068242998,177.181019019605
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,11,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,11,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.5,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,28.0,6.0,53.0,11,84.99531553764668,98.16821644773168,13.23330957280603,0.24690787714449,189.13582755364
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,9.0,1.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,11,86.15277695371188,98.023386617417,11.93774845986616,0.249504994055285,172.841102599823
90.0,1.3,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,12,79.16175996666666,94.2562,15.2069,0.2818,85.3201
90.0,1.3,1.0,2.9,1.5,1.1,34.0,3.5,7.0,14.0,1.0,6.0,3.7,14.0,2.5,4.0,30.0,6.0,52.0,12,75.30022934879943,98.05653922065241,22.873700722565722,0.339699406085341,157.376556989753
90.0,1.5,1.0,2.9,1.9,1.3,33.0,4.0,10.0,14.0,0.0,4.0,3.7,13.0,2.0,4.0,28.0,6.0,53.0,12,84.99531553764668,98.16821644773168,13.23330957280603,0.24690787714449,189.13582755364
90.0,1.3,1.0,3.0,1.8,1.3,34.0,4.0,9.0,10.0,1.0,4.0,3.7,12.0,2.5,4.0,26.0,8.0,52.0,12,90.24268527092617,98.0146043504177,7.828585564467673,0.231438374510492,177.158106837297
90.0,1.3,1.0,2.9,1.7,1.3,34.0,4.0,9.0,9.0,1.0,4.0,3.7,13.0,2.0,4.0,26.0,6.0,52.0,12,86.15277695371188,98.023386617417,11.93774845986616,0.249504994055285,172.841102599823
